date,price_inr
2022-02-16,7787.889999999999
2022-02-17,7617.74
2022-02-18,7574.580000000001
2022-02-22,7645.13
2022-02-23,7647.62
2022-02-24,7699.91
2022-02-25,7609.4400000000005
2022-02-28,7978.79
2022-03-01,8603.779999999999
2022-03-02,9191.42
2022-03-03,8938.27
2022-03-04,9608.91
2022-03-07,9898.58
2022-03-08,10262.12
2022-03-09,9031.23
2022-03-10,8792.19
2022-03-11,9072.73
2022-03-14,8567.26
2022-03-15,8002.860000000001
2022-03-16,7872.549999999999
2022-03-17,8546.51
2022-03-18,8689.27
2022-03-21,9307.62
2022-03-22,9215.49
2022-03-23,9535.87
2022-03-24,9478.6
2022-03-25,9644.6
2022-03-28,8926.65
2022-03-29,8652.75
2022-03-30,8948.23
2022-03-31,8343.99
2022-04-01,8243.56
2022-04-04,8573.07
2022-04-05,8464.34
2022-04-06,8000.37
2022-04-07,7972.15
2022-04-08,8163.049999999999
2022-04-11,7820.26
2022-04-12,8343.16
2022-04-13,8653.58
2022-04-14,8867.720000000001
2022-04-18,8983.92
2022-04-19,8510.82
2022-04-20,8512.48
2022-04-21,8622.87
2022-04-22,8537.38
2022-04-25,8266.8
2022-04-26,8517.460000000001
2022-04-27,8462.68
2022-04-28,8754.01
2022-04-29,8680.970000000001
2022-05-02,8729.94
2022-05-03,8509.99
2022-05-04,8950.720000000001
2022-05-05,8978.11
2022-05-06,9106.76
2022-05-09,8555.64
2022-05-10,8278.42
2022-05-11,8756.5
2022-05-12,8810.45
2022-05-13,9173.16
2022-05-16,9467.81
2022-05-17,9321.73
2022-05-18,9102.61
2022-05-19,9313.43
2022-05-20,9348.289999999999
2022-05-23,9156.56
2022-05-24,9341.65
2022-05-25,9369.039999999999
2022-05-26,9643.77
2022-05-27,9541.68
2022-05-31,9493.539999999999
2022-06-01,9566.58
2022-06-02,9701.039999999999
2022-06-03,9874.51
2022-06-06,9828.029999999999
2022-06-07,9922.65
2022-06-08,10121.02
2022-06-09,10086.16
2022-06-10,10020.59
2022-06-13,10036.36
2022-06-14,9870.36
2022-06-15,9571.56
2022-06-16,9757.48
2022-06-17,9093.48
2022-06-21,9170.67
2022-06-22,8816.26
2022-06-23,8777.25
2022-06-24,9052.81
2022-06-27,9249.52
2022-06-28,9433.779999999999
2022-06-29,9266.95
2022-06-30,8944.08
2022-07-01,9154.9
2022-07-05,8428.65
2022-07-06,8325.73
2022-07-07,8683.460000000001
2022-07-08,8862.74
2022-07-11,8805.470000000001
2022-07-12,8108.2699999999995
2022-07-13,8170.5199999999995
2022-07-14,8116.570000000001
2022-07-15,8265.970000000001
2022-07-18,8671.84
2022-07-19,8807.960000000001
2022-07-20,8669.35
2022-07-21,8170.5199999999995
2022-07-22,8109.929999999999
2022-07-25,8285.89
2022-07-26,8112.419999999999
2022-07-27,8302.49
2022-07-28,8226.13
2022-07-29,8408.73
2022-08-01,8016.97
2022-08-02,8062.62
2022-08-03,7739.75
2022-08-04,7577.070000000001
2022-08-05,7616.91
2022-08-08,7762.16
2022-08-09,7733.9400000000005
2022-08-10,7858.4400000000005
2022-08-11,8052.66
2022-08-12,7873.38
2022-08-15,7655.919999999999
2022-08-16,7406.09
2022-08-17,7540.549999999999
2022-08-18,7735.6
